TYPE,TRACE,A

DATE & TIME,04Nov2023 02:43AM MST
227,-68.872
228,-68.873
229,-65.782
230,-68.875
231,-68.876
232,-68.041
233,-68.877
234,-68.878
235,-68.879
236,-68.879
237,-68.879
238,-68.880
239,-68.881
240,-67.976
241,-66.687
242,-68.884
243,-68.288
244,-68.885
245,-68.886
246,-68.887
247,-68.888
248,-68.888
249,-68.889
250,-68.889
251,-68.337
252,-68.891
253,-68.891
254,-68.892
255,-68.893
256,-68.894
257,-68.895
258,-68.895
259,-68.896
260,-68.897
261,-68.898
262,-68.899
263,-67.937
264,-68.899
265,-67.903
266,-68.901
267,-68.902
268,-68.903
269,-68.738
270,-68.104
271,-68.905
272,-68.906
273,-68.907
274,-68.907
275,-68.908
276,-68.909
277,-68.909
278,-68.910
279,-68.910
280,-68.911
281,-65.315
282,-65.929
283,-68.914
284,-66.499
285,-68.915
286,-68.916
287,-68.917
288,-68.918
289,-68.919
290,-68.919
291,-68.920
292,-68.920
293,-68.921
294,-68.922
295,-68.922
296,-68.729
297,-68.924
298,-68.925
299,-68.926
300,-68.926
301,-68.927
302,-68.928
303,-68.929
304,-67.189
305,-67.386
306,-67.814
307,-68.931
308,-68.862
309,-68.024
310,-68.934
311,-68.934
312,-68.935
313,-68.149
314,-66.468
315,-68.938
316,-68.926
317,-68.939
318,-67.746
319,-67.921
320,-66.735
321,-65.825
322,-68.942
323,-67.804
324,-67.257
325,-68.945
326,-68.946
327,-67.335
328,-68.745
329,-68.948
330,-68.949
331,-68.950
332,-68.924
333,-68.951
334,-68.952
335,-68.489
336,-67.481
337,-68.954
338,-67.317
339,-68.955
340,-68.956
341,-68.957
342,-64.840
343,-68.958
344,-67.901
345,-68.960
346,-66.836
347,-65.882
348,-66.333
349,-68.963
350,-67.918
351,-66.464
352,-67.645
353,-67.526
354,-68.199
355,-68.767
356,-68.968
357,-66.924
358,-66.891
359,-68.970
360,-67.825
361,-66.561
362,-67.370
363,-68.973
364,-66.592
365,-67.184
366,-65.794
367,-68.761
368,-68.939
369,-68.631
370,-67.003
371,-66.636
372,-65.607
373,-66.005
374,-64.621
375,-68.982
376,-68.954
377,-68.984
378,-65.452
379,-68.985
380,-65.823
381,-67.792
382,-68.892
383,-66.990
384,-65.813
385,-65.320
386,-68.991
387,-66.261
388,-64.437
389,-64.478
390,-65.655
391,-64.704
392,-64.296
393,-65.738
394,-66.682
395,-66.770
396,-68.998
397,-66.769
398,-63.503
399,-64.906
400,-66.881
401,-65.599
402,-68.803
403,-67.640
404,-63.662
405,-64.658
406,-68.695
407,-67.818
408,-64.895
409,-64.833
410,-63.850
411,-64.125
412,-65.082
413,-65.494
414,-65.889
415,-65.267
416,-62.322
417,-64.619
418,-64.746
419,-64.077
420,-64.199
421,-62.874
422,-64.000
423,-64.214
424,-65.098
425,-63.298
426,-61.868
427,-63.142
428,-62.938
429,-61.948
430,-64.334
431,-63.999
432,-62.778
433,-61.107
434,-59.923
435,-59.426
436,-59.184
437,-57.704
438,-56.571
439,-55.494
440,-54.431
441,-53.601
442,-52.670
443,-51.043
444,-50.017
445,-48.887
446,-47.634
447,-45.786
448,-44.559
449,-42.789
450,-41.690
451,-40.673
452,-39.265
453,-38.421
454,-37.286
455,-36.596
456,-35.743
457,-35.230
458,-34.574
459,-34.215
460,-33.745
461,-33.494
462,-33.177
463,-32.938
464,-32.827
465,-32.695
466,-32.607
467,-32.547
468,-32.525
469,-32.492
470,-32.470
471,-32.467
472,-32.464
473,-32.439
474,-32.421
475,-32.403
476,-32.381
477,-32.375
478,-32.342
479,-32.330
480,-32.312
481,-32.298
482,-32.277
483,-32.266
484,-32.262
485,-32.238
486,-32.225
487,-32.211
488,-32.200
489,-32.182
490,-32.179
491,-32.169
492,-32.158
493,-32.148
494,-32.139
495,-32.124
496,-32.116
497,-32.116
498,-32.115
499,-32.107
500,-32.089
501,-32.082
502,-32.063
503,-32.059
504,-32.036
505,-32.016
506,-31.990
507,-31.976
508,-31.963
509,-31.942
510,-31.926
511,-31.903
512,-31.895
513,-31.879
514,-31.868
515,-31.862
516,-31.848
517,-31.842
518,-31.842
519,-31.848
520,-31.843
521,-31.843
522,-31.850
523,-31.848
524,-31.851
525,-31.847
526,-31.849
527,-31.856
528,-31.860
529,-31.866
530,-31.865
531,-31.862
532,-31.863
533,-31.866
534,-31.864
535,-31.869
536,-31.867
537,-31.870
538,-31.873
539,-31.878
540,-31.880
541,-31.894
542,-31.912
543,-31.926
544,-31.962
545,-31.988
546,-32.043
547,-32.120
548,-32.186
549,-32.318
550,-32.503
551,-32.661
552,-32.949
553,-33.185
554,-33.632
555,-33.980
556,-34.626
557,-35.138
558,-35.705
559,-36.363
560,-37.492
561,-38.355
562,-39.820
563,-40.928
564,-42.137
565,-43.482
566,-45.715
567,-47.397
568,-49.217
569,-52.031
570,-54.025
571,-56.533
572,-57.950
573,-59.726
574,-60.439
575,-60.937
576,-61.967
577,-63.437
578,-62.071
579,-62.982
580,-64.476
581,-63.488
582,-62.337
583,-62.974
584,-64.227
585,-63.342
586,-64.386
587,-63.891
588,-63.264
589,-64.272
590,-63.455
591,-63.439
592,-63.333
593,-63.789
594,-64.331
595,-67.162
596,-64.216
597,-63.248
598,-64.763
599,-68.784
600,-67.073
601,-68.215
602,-64.355
603,-65.351
604,-67.365
605,-65.740
606,-66.332
607,-66.280
608,-64.320
609,-68.779
610,-65.409
611,-64.756
612,-65.364
613,-66.927
614,-66.411
615,-64.971
616,-65.775
617,-64.772
618,-63.637
619,-64.815
620,-66.437
621,-64.713
622,-66.993
623,-65.658
624,-66.312
625,-67.658
626,-65.904
627,-65.609
628,-65.061
629,-64.490
630,-65.029
631,-65.475
632,-66.994
633,-68.308
634,-66.179
635,-65.114
636,-64.853
637,-68.195
638,-69.153
639,-68.467
640,-69.154
641,-69.154
642,-67.687
643,-65.746
644,-67.032
645,-65.461
646,-69.157
647,-64.927
648,-66.905
649,-66.651
650,-65.973
651,-67.834
652,-69.159
653,-68.301
654,-66.282
655,-67.792
656,-69.094
657,-69.161
658,-69.162
659,-69.162
660,-67.466
661,-66.808
662,-68.327
663,-65.940
664,-67.702
665,-69.165
666,-66.675
667,-67.529
668,-65.503
669,-65.504
670,-66.897
671,-68.122
672,-67.239
673,-67.273
674,-69.170
675,-67.840
676,-66.302
677,-67.991
678,-69.172
679,-67.163
680,-67.185
681,-67.110
682,-66.701
683,-69.174
684,-69.175
685,-68.250
686,-64.574
687,-65.890
688,-67.116
689,-67.211
690,-69.178
691,-69.178
692,-66.188
693,-69.179
694,-69.180
695,-68.347
696,-67.386
697,-67.820
698,-69.182
699,-69.182
700,-69.183
701,-67.569
702,-65.134
703,-65.681
704,-66.764
705,-67.765
706,-68.918
707,-69.186
708,-69.187
709,-67.919
710,-67.846
711,-66.918
712,-66.738
713,-65.269
714,-69.189
715,-69.190
716,-65.263
717,-67.731
718,-68.932
719,-68.644
720,-69.192
721,-68.788
722,-67.553
723,-69.194
724,-69.194
725,-69.195
726,-69.195
727,-69.196
728,-69.196
729,-69.197
730,-69.197
731,-69.198
732,-69.198
733,-69.199
734,-67.858
735,-67.882
736,-68.791
737,-67.562
738,-69.201
739,-69.202
740,-68.543
741,-69.203
742,-67.436
743,-69.178
744,-69.166
745,-66.297
746,-68.379
747,-67.595
748,-69.206
749,-69.207
750,-65.770
751,-66.779
752,-69.208
753,-67.468
754,-68.548
755,-68.345
756,-69.210
757,-69.211
758,-68.713
759,-67.299
760,-67.776
761,-69.213
762,-69.213
763,-69.214
764,-69.214
765,-68.509
766,-69.215
767,-67.248
768,-69.216
769,-68.130
770,-66.407
771,-66.030
772,-67.111
773,-69.068
774,-69.219
775,-69.220
776,-67.449
777,-69.221
778,-69.221
779,-69.222
780,-69.222
781,-69.223
782,-66.386
783,-69.224
784,-69.224
785,-69.225
786,-66.578
787,-68.295
788,-69.226
789,-69.227
790,-69.227
791,-69.228
792,-69.228
793,-69.229
794,-69.229
795,-69.230
796,-69.230
797,-69.231
798,-69.231
799,-69.232
800,-69.232
801,-69.233
802,-69.233
803,-69.234
804,-69.234
805,-69.235
806,-69.236
807,-69.236
808,-69.237
809,-69.237
810,-69.237
811,-69.237
812,-69.237
813,-67.898
814,-69.239
815,-69.239
816,-69.241
817,-66.315
818,-68.327
819,-69.242
820,-69.243
821,-69.243
822,-69.243
823,-69.243
824,-66.754
825,-69.244
826,-69.245
827,-69.245
828,-69.246
829,-69.246
830,-69.247
831,-66.909
832,-67.632
833,-68.132
834,-69.249
835,-69.249
836,-69.250
837,-69.250
838,-69.251
839,-69.231
840,-68.963
841,-69.252
842,-69.253
843,-69.253
844,-69.254
845,-69.254
846,-68.814
847,-69.255
848,-69.256
849,-69.256
850,-69.257
851,-69.257
852,-69.258
853,-69.258
854,-69.259
855,-67.899
856,-69.260
857,-69.260
858,-68.922
859,-67.927
860,-67.995
861,-68.342
862,-67.722
863,-67.644
864,-69.264
865,-66.637
866,-69.265
867,-68.599
868,-68.891
869,-69.266
870,-69.267
871,-69.267
872,-69.268
873,-69.268
874,-69.269
875,-69.269
876,-67.848
877,-69.270
878,-69.271
879,-69.271
880,-69.272
881,-69.272
882,-67.175
883,-66.468
884,-69.274
885,-69.274
886,-69.275
887,-69.275
888,-69.276
889,-69.276
890,-68.112
891,-67.030
892,-66.809
893,-66.434
894,-69.279
895,-69.279
896,-69.280
897,-69.280
898,-69.281
899,-69.281
900,-65.409
901,-66.824
902,-69.283
903,-69.284
904,-69.284
905,-69.285
906,-69.285
907,-69.285
908,-69.286
909,-69.287
910,-69.287
911,-69.288
912,-69.288
913,-69.289
914,-69.289
915,-69.290
916,-69.290
917,-69.291
918,-69.291
919,-69.292
920,-69.292
921,-69.293
922,-69.293
923,-69.294
924,-69.294
925,-69.295
926,-69.295
927,-69.296
928,-69.296
929,-69.297
930,-69.297
931,-69.298
932,-69.298
933,-69.299
934,-68.068
935,-69.300
936,-69.300
937,-69.301
938,-68.699
939,-69.302
940,-69.302
941,-69.303
942,-69.303
943,-69.304
944,-69.304
945,-69.305
946,-69.305
947,-69.306
948,-69.306
949,-67.438
950,-69.307
951,-69.308
952,-69.308
953,-69.309
954,-69.309
955,-69.310
956,-69.310
957,-69.311
958,-68.679
959,-69.312
960,-66.596
961,-66.582
962,-69.313
963,-68.680
964,-69.314
965,-68.050
966,-69.315
967,-69.316
968,-69.316
969,-69.317
970,-69.317
971,-69.318
972,-69.318
973,-69.319
974,-69.319
975,-69.320
976,-69.320
977,-69.321
978,-69.321
979,-69.322
980,-69.322
981,-69.323
982,-69.323
983,-69.324
984,-68.561
985,-69.325
986,-69.325
987,-69.241
988,-69.326
989,-69.327
990,-69.327
991,-69.328
992,-68.621
993,-69.329
994,-69.329
995,-67.442
996,-69.330
997,-69.331
998,-69.332
999,-69.332
1000,-69.333
1001,-68.804


STATE,0.vs,ZZZZZ000000097CW00lWW0mbyy7oOdm05(udn8c)8crGssZ(PBzQ7Q,Z6xhKXA9He6DCk1SfkHLELTm3V0IHt8N1AGHAG5UzR(RPAMfAKfeBQ,Z0VSYvS7IcZTq3881EeXIOZMrkZdfdVdG4zbs200
STATE,1.vs,ZZZZZ000001537CW00lq1Dy4zi7Ra6CGc)0an8coi2QWoStwoZUmFU,ZeZBVLh)d9Qz8t7Fd2n9E20QmJ4bYHi)Dj)bkrvVjp)ZdzeFTYVv3y,ZHzSdn8c(mtsoMkUMVOtIO2mPe4PizxftJO1cYLKZVmZzMW1TuivFj,Z3khvFbq3VSmH0ZBcqhRlq1ymNBVfxKQLwc4T0X(MK(t(xRyohjePl,ZYALWupoYXCGmDVTjl)gVAdJDShVye6JaSZuYT4uHtxm6QrMBwGnv1,ZonrH4kW2LkzpUpJVxNH3x)w7yRLMm3luqsS3KhG5lSoDpis5svFBT,ZpvKomyR2cGvd8aC(5JA2jldcINd1FfHDhfziVVEbPt4j8m9GDwIo(,ZVZGW657BrZW2817)Q4qI2Jn56anvKjcm52eBEd0)J1Eo6J5pwiWNz,ZIJYT1dOulO523v)7ua8(wQoBFZPRsSvKxwObYBVLsmIq5wbX10cW),ZIE0VDYTeQKjvgY)9ceDmOZ3ijQ4F4AVrFsDNLYZ96mTlppl1Zk6bx,ZhS3(zZ8SQEvG1d2QgqV34sGHyKLTDOh1CboSbyfy8j0B6PvsZunPU,Z0jc4EKCJI6bzj343VCBeT9Y1xOIoPhz5E70d88vB8IDsQN(aSat5y,ZXSwNs80QrVzCSz)l0U2)ed(hnymOOL0S2cxFiBxpKGiUXwX1Rvqwq,Zvco9hewrHogP67N0wjKR8IEcKB8VfgmXp(U)z9uW3zCJyqsj6UBS6,Z)jx8jpUPNOgfKW82ppc(8LXPRL1G7I3YJmVUd77cInL6L0cJOQccw,ZyDSVMzG8LiG9G2lBSLmg0)TfCSsX(PSPCERPTJstrB8LSJA05yIiY,ZvMV8Uh0zsbzXMx540k5Q9jl5UQ7w4Ws3hPTOvkt)N2Xxs4jR6yXQb,Z61VsDXQnO7kESRw9be59qQl41GzwXsdn(IezGsrrY76lM2U3S)Kq(,Z3i(GLbauf502bw2dy4USqrniQncQlWxBaEoLvcPtVn(5nZ1PfCpXO,ZAKtZh8YxYn3ZTvUksk0G5s7YYDJ96PJengr1ZMyCdxKG5HnqHofY),ZSkDlAeYCU5jx8jbRzwNgpF25WmoJ)w42iHsvVFivLy9wqWr66bp2c,ZK4i8(Cogc64ZHMjEYk9JPc8p5nV5tu2s1dnsZyQpD)CAQDnmV2W36,ZUXmBV8zcZ)HqtS02zndDnpHP2P(LG1mSsCLNbagWDVGX2AsuvBisJ,Zlm182OB02h2sQejPEfDVB1ws0jB4BkesK(7SEyDbsWWHZkP3KbfHi,ZWXGJdn3wBb)YOWNojsK3EsrddG3Mu1coSV0THNua5F7Ew0Dbf6bP7,ZASglKAc(0zD1qZkVl9DpwogorQd6BWLHsk5m3ZffVSJ5N)kdmq1hN,ZBTtcXYXCzpYQ0EJgqoL4O66fXIDZmllM2UPknj34K7sit(GNOG2Ow,ZaqPDa)3kL8dfVOhxnOc1Khh4mlJPV1CEOjHN8GkaDU1qka2yO5XAC,ZZwoG0BtzffE1goYeYpVNfzpBzvEbtQD2bH)(s6rgNEZ5BcJFOBINk,ZFDR1uh9pF8qiUtephgKnACLUWrRXoArRYW79w7sWHUFC2nB4ryeL9,ZVpdR9l(pXcdCHAbmUIa)vsIvOKyUOBGkSuL59(7oPEhDTlCTjAI(P,ZneiEz550f2tfoWOJHM)WbsWeHJiFtDrPFWemoq2RtdR(quGZ914j7,ZlU1H8m9c6Z6)0zIqXUnhv9YTmJf2aZ1xDV5(kFXUDU9o6PxVyp9gl,ZpMlHePdltvHSPeG7fRiyb9CcydbqWAjc6Ra1C8NwjOu7i(kv7QrJv,ZqMtIr3I1(4q0ZuB9gr8MA5UhoT6QZe2an3YMEAwLwQpiUDCUWDTV1,Znzrp5omUMhMOB0ru34nu16Uk2fXpSUH1mJFYo48fWSGWT0LdmWAys,ZWByDHGmUrlhLrTEPMAbTI6uz(T2sg7tM6LwXmPV)nQqtR9FAtkll8,ZUcSMdLI3TOelIEStrRrnQiDAuPDd0NImgRb3OnfWemVDJrXlxeTes,Z17pk)hpAKT7e4smaTLnuGYFMh0qVqyAB7xhy37MW()FmL7Em200

